IDTrack,t,y,x,IDCell
0,8,19.804988891133103,1077.6896586548173,1
0,1,12.173514468743097,1053.961122155953,3
0,2,9.747470238095238,1051.8126488095238,3
0,9,31.195336549506088,1088.9114863312657,1
0,0,11.663168415792104,1082.7132683658172,3
0,6,9.966956701885229,1063.1735032111042,1
0,7,15.187095469255663,1076.1736448220065,1
0,3,7.724209434940384,1056.805598755832,3
1,8,90.1193950930626,1306.6338832487309,6
1,7,95.13185324160935,1305.6827183656453,6
1,6,103.75875738791984,1302.4134592282926,6
1,9,84.81800113571835,1304.4758401734553,6
1,5,119.01931423611111,1299.2483506944445,9
1,3,132.9965497817209,1299.0706707975403,9
1,1,141.10384862841434,1304.6819617476751,10
1,4,129.36062872918336,1296.7567904532907,9
1,0,141.84071729957805,1319.0664556962026,11
1,2,141.23929178908304,1300.5413896190917,9
2,8,865.0295213892418,1061.7180008470987,40
2,3,879.6972828166859,1012.6681974741676,42
2,7,865.0689778113334,1052.1565160857347,43
2,6,872.2268373932959,1039.267072662919,42
2,9,863.6118489406875,1070.495618195781,40
2,5,874.1153184693815,1027.5408451569315,43
2,1,891.0627530364372,996.9028340080972,40
2,4,875.837361530715,1018.2787009063444,42
2,2,886.3220634048012,993.7787245739418,40
3,6,719.2392911261411,1111.2784676793435,33
3,0,695.0953103126458,1138.6162700264426,29
3,5,712.4956516629451,1105.6554824303678,34
3,8,728.513520426807,1119.5183439304246,30
3,9,730.8310445276737,1124.1773477597446,29
3,2,707.6952502120441,1099.8379134860052,29
3,7,724.1242239662645,1117.9052165085316,34
3,3,709.1991523600533,1098.659932877243,33
3,1,707.635042283298,1104.0641296687809,30
3,4,709.5282343531294,1102.4098180363928,33
4,7,435.3883811822858,835.7481248383482,18
4,0,413.6254128682785,878.6656757827983,17
4,9,437.8577655425557,830.569970176646,19
4,8,439.04222982606217,832.0963501568292,17
4,4,427.1487142163998,847.869076500081,18
4,2,423.3111785065625,848.859686097118,15
4,5,425.95735924639314,844.9401777610866,19
4,1,421.8724768595963,849.8693542990967,17
4,3,421.984839276067,850.4879794705565,18
4,6,433.1136443973135,839.9045304583481,18
5,6,547.450401836969,767.5640260237276,26
5,2,545.0786029466757,754.4722907785506,22
5,5,546.142270014638,758.4413729685095,27
5,3,546.1607638888889,752.6685185185186,26
5,7,548.1349388379206,766.6487385321101,26
5,4,545.1036852088414,758.1610536910154,26
5,8,544.402937866263,760.9418442193503,23
5,9,549.6681754618385,758.1860234047251,24
5,1,548.1416460905349,760.5287242798354,25
5,0,544.8431325106864,788.5015323816438,24
6,3,557.8668274383708,622.6619328331548,29
6,0,558.0009896091044,660.8735774369125,25
6,9,567.9169690831857,604.5321546122036,25
6,6,553.0009672349172,616.3969894813202,27
6,5,550.4550849575213,616.0441029485257,28
6,7,556.4651128177651,613.5105375959993,27
6,1,558.5900570497148,628.726908448791,26
6,4,552.5672172978781,617.9047139403707,27
6,8,551.8824851645387,606.8820056344782,24
6,2,556.4353518244054,623.8250052932458,25
7,4,163.67723084690144,736.45673356052,10
7,3,162.77987225424522,737.4475515396998,10
7,7,160.55437081199523,731.234133353716,9
7,1,171.88526337416855,740.9221691450292,11
7,0,170.62905157571674,767.7507672729995,10
7,9,166.12403507356305,712.9950375211813,8
7,2,167.87252011070586,737.5830811412017,10
7,8,162.82935448405843,721.814878802157,7
7,6,158.7673486525689,732.3462223579407,9
7,5,146.9898670877747,741.4756546914067,10
8,4,769.6983555555556,884.8268888888889,37
8,8,744.9501561374009,878.8109136039716,31
8,5,762.3441558441558,878.3386384856974,38
8,6,753.0192953351502,883.8271714658135,36
8,0,767.7445753254805,904.1804091754494,34
8,7,742.0591706187273,879.5959523546928,36
8,1,775.9577015163608,881.3800212822559,35
8,9,745.632097427872,879.1339231973035,30
8,2,776.6806896551724,883.968735632184,34
8,3,772.8580672562834,886.2335731774347,37
9,3,256.62302483069976,837.0131677953348,13
9,5,244.1854256854257,827.7161992596775,13
9,8,245.4758440845457,824.3046481837314,8
9,6,237.79078120323257,826.6011174299113,11
9,9,254.528516330215,819.3968488429346,10
9,7,238.01901473296502,825.277394106814,10
9,4,253.89280810161344,829.8447476828012,13
10,2,465.2138364779874,526.7683799609629,18
10,7,450.60415500055996,526.4095456751409,21
10,1,466.67930827518944,532.454310150799,20
10,3,461.74728911420925,522.3638219969018,22
10,6,456.46082867007976,522.6179505496686,21
10,5,459.30184910398356,521.3656165582316,23
10,4,460.61317292006527,519.198103588907,22
10,8,443.87226001511715,530.7314058956916,18
10,9,434.542663476874,533.2416992895462,17
10,0,463.3609777777778,565.4222044444444,20
11,7,734.689226628671,673.3560516108605,35
11,1,756.6573872171343,687.3875321025342,32
11,6,741.7036402116403,674.0723174603174,35
11,3,750.0635715876197,678.800334001336,35
11,9,741.813229731952,669.7053116263772,32
11,4,742.0229459344403,677.7642401021711,35
11,8,738.6506981408625,671.9660958111548,32
11,5,740.2434343434343,673.3186546314206,36
11,2,757.4254203501473,682.2152452764777,31
11,0,755.4557513999816,718.3210777563573,31
12,8,741.5306762458661,994.6131257840118,33
12,9,747.9611992945327,995.6206643151087,33
13,0,618.35536668869,53.994103749974975,26
13,4,622.0656900987634,35.623246742468254,30
13,2,626.7870776572,33.87402190923318,26
13,6,608.197616176607,32.29099032248091,29
13,8,608.8396280095309,28.36261958106618,25
13,3,622.7327516629094,33.99428070468398,30
13,9,608.0885320788165,29.790277493693324,26
13,5,617.7577981123388,35.51222951197054,31
13,7,605.7761821309188,30.660419303540714,28
13,1,627.0717042136004,34.19289737171464,27
14,9,53.085311615549,528.3770865823369,2
14,3,70.10288423427544,531.401429921644,6
14,6,59.4890768774117,538.7056396556842,2
14,0,64.86529805352798,572.7929136253041,6
14,7,59.851590106007066,536.414988221437,3
14,2,69.44493656510595,530.2347415555339,6
14,4,68.27280524413403,530.8030692887337,4
14,8,55.84102632121908,526.7489757420344,2
14,1,71.70463612601459,536.5315380382447,6
14,5,65.7507670850767,532.7770494343716,3
15,2,357.9010281467909,1255.19298111671,12
15,4,356.9505822416303,1258.9868753032508,14
15,6,353.0242523307906,1263.275614481172,14
15,0,356.6232490675508,1288.3003315375051,14
15,3,357.02375984300863,1256.9559455498422,14
15,1,361.0571432190722,1262.9948696511362,14
15,9,345.48842000568345,1271.4530169555746,12
15,7,348.63137480247093,1269.53955370397,14
15,5,354.3987789813759,1261.1761212466743,16
15,8,349.08168704923173,1272.6733844706564,11
16,9,229.16834645669292,902.5853018372704,9
16,3,246.35164946367132,904.5006071645416,12
16,6,232.88486618665942,908.5924693202917,10
16,7,233.53095654426525,908.2058480668351,11
16,4,233.83640867930976,894.4273022381685,11
16,5,228.31754272117672,900.069922128488,12
16,8,234.56260850694446,905.9241536458334,9
17,8,494.59785191521723,1132.2870449577035,19
17,9,485.90589107861837,1152.6800381436744,20
17,7,494.8851865718208,1121.2524023461874,23
17,6,489.5228119180633,1105.1322160148977,23
18,8,779.9687898828171,777.3337974242952,34
18,0,787.6854911216003,815.7159755001124,33
18,2,788.3202730302053,777.9531333978287,32
18,9,781.2502201016729,774.738164210048,34
18,6,780.9492930940729,773.8990212071778,37
18,1,784.7654534475187,784.9707400087834,34
18,3,783.1586210571185,775.4290014919011,36
18,4,783.4729017794591,774.6509878100042,36
18,7,784.1375755521663,777.9925718804723,37
18,5,780.9725070156428,774.7953794004056,37
19,8,372.28351478567066,905.8792533505804,12
19,5,369.6096447451111,899.2883257550552,17
19,6,370.2540667508063,901.4684476230543,15
19,4,374.9446866485014,902.5149682107175,16
19,2,380.5957552202408,905.8705608901082,13
19,0,395.03959914380226,943.9119867678537,15
19,9,381.20164630538443,918.0500678709408,13
19,7,371.32703095782256,905.9578918207632,15
19,3,376.6927972802024,905.0504822896901,16
19,1,390.5729304029304,912.2161904761905,15
20,1,44.85688876069609,16.784780309585617,5
20,2,51.581792717086834,16.848926237161532,5
20,5,51.642035742035745,20.8998445998446,4
20,8,77.28905295147491,23.178558451425364,3
20,4,52.27801282051282,20.249166666666667,3
20,0,45.72550283147823,29.489572349150556,5
20,7,48.63828689370485,20.123667010663915,2
20,9,99.67347041628868,28.098377179719783,7
20,3,49.6368488471392,17.41367776828921,5
20,6,47.464385754301716,17.844937975190078,3
21,9,497.00590899732344,897.9152357422277,21
21,2,451.434168655529,948.3795743834527,19
21,1,457.80230798335225,979.9640559969732,21
21,8,492.23312264068124,906.9016767623563,20
21,7,484.04259043173863,917.2040494403387,22
21,6,476.3548531560835,919.4223589308443,22
21,5,463.6135600642242,924.3772928526249,24
21,4,465.980712013953,933.9092028316405,23
21,3,461.0396631112666,945.219065104622,23
22,9,813.6057867834976,249.14403066812704,35
22,7,811.5038872691935,246.14553747766388,38
22,6,814.906999173326,242.9886868130186,38
22,3,808.774207691344,255.1111111111111,38
22,8,809.8838346098761,247.57294974780496,35
22,2,808.7637932660567,254.99750070734697,36
22,1,812.1281632391568,259.10551604843357,36
